place,#,time,notes
1,244,1:01:22,
2,51,1:13:26,
3,304,1:13:45,
4,410,1:15:03,
5,364,1:15:20,
6,39,1:15:39,
7,54,1:17:32,
8,217,1:19:35,317?
9,328,1:19:39,
10,81,1:19:45,
11,17,1:19:50,
12,1,1:19:54,
13,97,1:20:18,Greg McQuaid
14,379,1:20:30,
15,385,1:21:01,
16,124,1:21:55,
17,213,1:22:11,
18,142,1:22:12,
19,20,1:22:50,
20,391,1:22:55,
21,334,1:23:05,
22,431,1:23:38,
23,425,1:24:01,
24,323,1:24:30,
25,67,1:24:32,
26,335,1:24:32,
27,322,1:24:39,
28,284,1:24:45,
29,318,1:24:54,
30,277,1:24:59,
31,166,1:25:05,
32,48,1:25:24,
33,369,1:26:09,
34,221,1:26:50,
35,368,1:28:10,
36,250,1:28:15,
37,239,1:28:20,
38,413,1:28:23,
39,88,1:28:27,
40,417,1:28:43,
41,270,1:28:45,
42,377,1:28:55,
43,271,1:29:11,
44,344,1:29:12,
45,416,1:29:20,
46,363,1:29:29,
47,443,1:30:14,
48,400,1:30:20,
49,381,1:30:34,
50,375,1:31:04,
51,240,1:31:11,
52,295,1:31:13,
53,122,1:31:22,
54,283,1:31:59,
55,395,1:32:06,
56,264,1:32:14,
57,4,1:32:18,
58,307,1:32:22,
59,6,1:32:44,
60,350,1:33:22,
61,265,1:33:25,
62,222,1:33:35,
63,383,1:33:43,
64,156,1:35:06,
65,331,1:35:25,
66,347,1:35:52,
67,389,1:35:55,
68,419,1:36:30,
69,343,1:36:50,
70,273,1:36:55,
71,376,1:37:00,
72,332,1:37:06,
73,409,1:37:15,
74,346,1:37:20,
75,359,1:38:05,
76,172,1:38:50,
77,9,1:39:02,
78,154,1:39:37,
79,212,1:40:01,
80,353,1:40:06,
81,252,1:40:12,
82,255,1:40:12,
83,149,1:40:40,
84,259,1:41:54,
85,21,1:41:56,
86,399,1:42:05,
87,64,1:42:41,
88,365,1:43:10,
89,372,1:43:42,
90,338,1:44:04,
91,201,1:45:06,
92,434,1:45:36,
93,436,1:45:44,time is a guess (avg of bracketing times)
94,373,1:46:02,
95,276,1:46:12,
96,321,1:46:22,
97,422,1:46:26,
98,333,1:49:46,
99,225,1:50:26,
100,428,1:51:25,
101,405,1:52:07,
102,177,1:53:00,
103,408,1:53:09,
104,260,1:53:16,
105,49,1:53:59,
106,401,1:55:04,
107,357,1:56:56,
108,440,1:58:30,
109,342,1:59:32,
110,300,2:01:14,
111,371,2:01:39,
112,254,2:01:40,
113,281,2:03:45,
114,305,2:06:10,
115,393,2:06:49,
116,437,2:07:40,
117,41,2:07:45,
118,406,2:07:55,
119,387,2:08:55,
120,71,2:09:40,
121,111,2:15:24,
122,279,2:16:36,
123,361,2:17:22,
124,355,2:25:01,
125,367,2:28:00,
